No,EVE,YEAR,WEEKDAYS,DATE,FLIGHT,V_LENGTH,TIMELINE,TECHINICIAN,FOOTAGE_AREA,POLICE_PRESENCE,SURVEY_BOAT,NO_WS,NO_BOAT,NO_SWIMMER
253,E259,2016,Saturday,27-Aug-16,27AUG16114902702,555,52,Hoa,42149.839,no,No,13,3,3
254,E260,2016,Saturday,27-Aug-16,27AUG16114902702,555,312,Hoa,31799.478,no,yes,2,3,3
255,E261,2016,Saturday,27-Aug-16,27AUG16123502802,453,222,Hoa,41128.798,no,yes,22,3,3
256,E262,2016,Saturday,27-Aug-16,27AUG16123502802,453,338,Hoa,29173.954,no,yes,17,3,3
257,E263,2016,Sunday,28-Aug-16,28AUG16075203003,921,126,Hoa,34859.055,no,yes,16,3,2
258,E264,2016,Sunday,28-Aug-16,28AUG16075203003,921,438,Hoa,36877.751,no,yes,14,3,3
259,E265,2016,Sunday,28-Aug-16,28AUG16075203003,921,548,Hoa,36519.872,no,yes,12,4,12
260,E266,2016,Sunday,28-Aug-16,28AUG16075203003,921,717,Hoa,35931.536,no,yes,11,4,9
261,E267,2016,Sunday,28-Aug-16,28AUG16075203003,921,750,Hoa,34774.218,no,yes,11,4,9
262,E268,2016,Sunday,28-Aug-16,28AUG16075203003,921,851,Hoa,38537.553,no,yes,13,4,12
263,E269,2016,Sunday,28-Aug-16,28AUG16075203004,422,37,Hoa,35879.66,no,yes,11,4,9
264,E270,2016,Sunday,28-Aug-16,28AUG16083203101,921,41,Hoa,22612.141,no,yes,4,3,5
265,E271,2016,Sunday,28-Aug-16,28AUG16083203101,921,254,Hoa,39026.016,no,yes,5,4,7
266,E272,2016,Sunday,28-Aug-16,28AUG16083203101,921,413,Hoa,35591.702,no,yes,8,4,9
267,E273,2016,Sunday,28-Aug-16,28AUG16083203101,921,531,Hoa,36688.369,no,yes,8,4,9
268,E274,2016,Sunday,28-Aug-16,28AUG16083203101,921,610,Hoa,37203.32,no,yes,8,4,6
269,E275,2016,Sunday,28-Aug-16,28AUG16083203101,921,644,Hoa,37523.906,no,yes,7,4,6
270,E276,2016,Sunday,28-Aug-16,28AUG16083203101,921,858,Hoa,39292.64,no,yes,4,4,6
271,E277,2016,Sunday,28-Aug-16,28AUG16083203102,639,232,Hoa,33509.916,no,no,4,3,6
272,E278,2016,Sunday,28-Aug-16,28AUG16083203102,639,349,Hoa,24674.548,no,no,3,3,8
273,E279,2016,Sunday,28-Aug-16,28AUG16093003201,920,109,Hoa,33579.025,no,yes,5,3,6
274,E280,2016,Sunday,28-Aug-16,28AUG16093003201,920,356,Hoa,47319.928,no,yes,3,4,3
275,E281,2016,Sunday,28-Aug-16,28AUG16093003201,920,536,Hoa,51448.884,no,no,5,4,6
276,E282,2016,Sunday,28-Aug-16,28AUG16093003201,920,710,Hoa,48025.333,no,no,3,4,9
277,E283,2016,Sunday,28-Aug-16,28AUG16093003201,920,850,Hoa,35437.225,no,yes,5,5,12
278,E284,2016,Sunday,28-Aug-16,28AUG16093003202,526,53,Hoa,39564.726,no,no,7,5,10
279,E285,2016,Sunday,28-Aug-16,28AUG16093003202,526,211,Hoa,40285.815,no,no,7,5,12
280,E286,2016,Sunday,28-Aug-16,28AUG16102303301,900,102,Hoa,36390.529,no,yes,2,8,9
281,E287,2016,Sunday,28-Aug-16,28AUG16102303301,900,145,Hoa,34881.66,no,yes,2,10,15
282,E288,2016,Sunday,28-Aug-16,28AUG16102303301,900,228,Hoa,36171.734,no,yes,2,10,12
283,E289,2016,Sunday,28-Aug-16,28AUG16102303301,900,341,Hoa,36787.256,no,yes,3,9,6
284,E290,2016,Sunday,28-Aug-16,28AUG16102303301,900,734,Hoa,39084.435,no,no,1,5,9
285,E291,2016,Sunday,28-Aug-16,28AUG16102303304,713,49,Hoa,39172.812,no,no,1,5,6
286,E292,2016,Sunday,28-Aug-16,28AUG16102303304,713,324,Hoa,46026.479,no,no,3,7,17
287,E293,2016,Sunday,28-Aug-16,28AUG16102303304,713,410,Hoa,39813.029,no,no,4,9,20
288,E294,2016,Sunday,28-Aug-16,28AUG16110103401,921,331,Hoa,39849.12,no,yes,4,3,6
289,E295,2016,Sunday,28-Aug-16,28AUG16110103401,921,445,Hoa,45809.919,no,yes,3,4,9
290,E296,2016,Sunday,28-Aug-16,28AUG16110103401,921,607,Hoa,35266.394,no,yes,3,3,6
291,E297,2016,Sunday,28-Aug-16,28AUG16110103401,921,712,Hoa,38772.847,no,yes,2,3,6
292,E298,2016,Sunday,28-Aug-16,28AUG16110103402,646,128,Hoa,29481.514,no,yes,3,4,6
293,E299,2016,Sunday,28-Aug-16,28AUG16110103402,646,140,Hoa,29543.424,no,yes,3,4,6
294,E300,2016,Sunday,28-Aug-16,28AUG16115603501,518,329,Hoa,43067.753,no,yes,2,3,3
295,E301,2016,Sunday,28-Aug-16,28AUG16115603503,920,4,Hoa,39470.718,no,yes,2,3,6
296,E302,2016,Sunday,28-Aug-16,28AUG16115603503,920,55,Hoa,38591.222,no,yes,2,3,6
297,E303,2016,Sunday,28-Aug-16,28AUG16115603503,920,546,Hoa,32554.56,no,yes,2,3,4
